created_at,entry_id,field1,field2,field3,field4
2024-04-15T00:00:00+0000,14,16,,,
2024-04-15T00:05:00+0000,15,17,,,
2024-04-15T00:10:00+0000,16,18,,,
2024-04-15T00:15:00+0000,17,19,,,
2024-04-15T00:20:00+0000,18,18,,,
2024-04-15T00:25:00+0000,19,17,,,
2024-04-15T00:30:00+0000,20,16,,,
2024-04-15T00:35:00+0000,21,17,,,
2024-04-15T00:40:00+0000,22,16,,,
2024-04-15T00:45:00+0000,23,17,,,
2024-04-15T00:50:00+0000,24,18,,,
2024-04-15T00:55:00+0000,25,17,,,
2024-04-15T01:00:00+0000,26,18,,,
2024-04-15T01:05:00+0000,27,17,,,
2024-04-15T01:10:00+0000,28,16,,,
2024-04-15T01:15:00+0000,29,17,,,
2024-04-15T01:20:00+0000,30,16,,,
2024-04-15T01:25:00+0000,31,15,,,
2024-04-15T01:30:00+0000,32,14,,,
2024-04-15T01:35:00+0000,33,15,,,
2024-04-15T01:40:00+0000,34,14,,,
2024-04-15T01:45:00+0000,35,13,,,
2024-04-15T01:50:00+0000,36,14,,,
2024-04-15T01:55:00+0000,37,15,,,
2024-04-15T02:00:00+0000,38,14,,,
2024-04-15T02:05:00+0000,39,13,,,
2024-04-15T02:10:00+0000,40,14,,,
2024-04-15T02:15:00+0000,41,13,,,
2024-04-15T02:20:00+0000,42,14,,,
2024-04-15T02:25:00+0000,43,15,,,
2024-04-15T02:30:00+0000,44,16,,,
2024-04-15T02:35:00+0000,45,15,,,
2024-04-15T02:40:00+0000,46,16,,,
2024-04-15T02:45:00+0000,47,17,,,
2024-04-15T02:50:00+0000,48,16,,,
2024-04-15T02:55:00+0000,49,15,,,
2024-04-15T03:00:00+0000,50,16,,,
2024-04-15T03:05:00+0000,51,15,,,
2024-04-15T03:10:00+0000,52,14,,,
2024-04-15T03:15:00+0000,53,15,,,
2024-04-15T03:20:00+0000,54,14,,,
2024-04-15T03:25:00+0000,55,15,,,
2024-04-15T03:30:00+0000,56,16,,,
2024-04-15T03:35:00+0000,57,17,,,
2024-04-15T03:40:00+0000,58,16,,,
2024-04-15T03:45:00+0000,59,15,,,
2024-04-15T03:50:00+0000,60,16,,,
2024-04-15T03:55:00+0000,61,15,,,
2024-04-15T04:00:00+0000,62,14,,,
2024-04-15T04:05:00+0000,63,13,,,
2024-04-15T04:10:00+0000,64,14,,,
2024-04-15T04:15:00+0000,65,13,,,
2024-04-15T04:20:00+0000,66,12,,,
2024-04-15T04:25:00+0000,67,13,,,
2024-04-15T04:30:00+0000,68,14,,,
2024-04-15T04:35:00+0000,69,15,,,
2024-04-15T04:40:00+0000,70,14,,,
2024-04-15T04:45:00+0000,71,15,,,
2024-04-15T04:50:00+0000,72,14,,,
2024-04-15T04:55:00+0000,73,13,,,
2024-04-15T05:00:00+0000,74,10,,,
2024-04-15T05:05:00+0000,75,9,,,
2024-04-15T05:10:00+0000,76,10,,,
2024-04-15T05:15:00+0000,77,10,,,
2024-04-15T05:20:00+0000,78,10,,,
2024-04-15T05:25:00+0000,79,9,,,
2024-04-15T05:30:00+0000,80,10,,,
2024-04-15T05:35:00+0000,81,10,,,
2024-04-15T05:40:00+0000,82,10,,,
2024-04-15T05:45:00+0000,83,10,,,
2024-04-15T05:50:00+0000,84,9,,,
2024-04-15T05:55:00+0000,85,10,,,
2024-04-15T06:00:00+0000,86,10,,,
2024-04-15T06:05:00+0000,87,9,,,
2024-04-15T06:10:00+0000,88,8,,,
2024-04-15T06:15:00+0000,89,7,,,
2024-04-15T06:20:00+0000,90,6,,,
2024-04-15T06:25:00+0000,91,7,,,
2024-04-15T06:30:00+0000,92,8,,,
2024-04-15T06:35:00+0000,93,7,,,
2024-04-15T06:40:00+0000,94,8,,,
2024-04-15T06:45:00+0000,95,7,,,
2024-04-15T06:50:00+0000,96,8,,,
2024-04-15T06:55:00+0000,97,7,,,
2024-04-15T07:00:00+0000,98,6,,,
