created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2024-04-15T00:12:00+0000,1,21,,,,,,,,,
2024-04-15T00:12:01+0000,2,,,,11,,,,,,
2024-04-15T00:12:02+0000,3,,,,,1,,,,,
2024-04-15T00:15:00+0000,4,22,,,,,,,,,
2024-04-15T00:15:01+0000,5,,,,17,,,,,,
2024-04-15T00:15:02+0000,6,,,,,,2,,,,
2024-04-15T00:20:00+0000,7,22,,,,,,,,,
2024-04-15T00:25:00+0000,8,22,,,,,,,,,
2024-04-15T00:26:00+0000,9,23,,,,,,,,,
2024-04-15T00:26:01+0000,10,,,,11,,,,,,
2024-04-15T00:26:02+0000,11,,,,,,1,,,,
2024-04-15T00:27:00+0000,12,22,,,,,,,,,
2024-04-15T00:27:01+0000,13,,,,30,,,,,,
2024-04-15T00:27:02+0000,14,,,,,1,,,,,
2024-04-15T00:32:00+0000,15,23,,,,,,,,,
2024-04-15T00:32:01+0000,16,,,,13,,,,,,
2024-04-15T00:32:02+0000,17,,,,,,2,,,,
2024-04-15T00:33:00+0000,18,24,,,,,,,,,
2024-04-15T00:33:01+0000,19,,,,30,,,,,,
2024-04-15T00:33:02+0000,20,,,,,,2,,,,
2024-04-15T00:38:00+0000,21,24,,,,,,,,,
2024-04-15T00:43:00+0000,22,23,,,,,,,,,
2024-04-15T00:43:01+0000,23,,,,19,,,,,,
2024-04-15T00:43:02+0000,24,,,,,1,,,,,
2024-04-15T00:48:00+0000,25,23,,,,,,,,,
2024-04-15T00:53:00+0000,26,23,,,,,,,,,
2024-04-15T00:58:00+0000,27,23,,,,,,,,,
2024-04-15T01:00:00+0000,28,22,,,,,,,,,
2024-04-15T01:00:01+0000,29,,,,11,,,,,,
2024-04-15T01:00:02+0000,30,,,,,1,,,,,
2024-04-15T02:00:00+0000,31,,4,5,,,,,,,
2024-04-15T02:02:00+0000,32,23,,,,,,,,,
2024-04-15T02:02:01+0000,33,,,,16,,,,,,
2024-04-15T02:02:02+0000,34,,,,,,2,,,,
2024-04-15T02:07:00+0000,35,23,,,,,,,,,
2024-04-15T02:12:00+0000,36,23,,,,,,,,,
2024-04-15T02:17:00+0000,37,23,,,,,,,,,
2024-04-15T02:22:00+0000,38,23,,,,,,,,,
2024-04-15T02:27:00+0000,39,23,,,,,,,,,
2024-04-15T02:32:00+0000,40,23,,,,,,,,,
2024-04-15T02:37:00+0000,41,23,,,,,,,,,
2024-04-15T02:41:00+0000,42,24,,,,,,,,,
2024-04-15T02:41:01+0000,43,,,,19,,,,,,
2024-04-15T02:41:02+0000,44,,,,,,1,,,,
2024-04-15T02:46:00+0000,45,25,,,,,,,,,
2024-04-15T02:46:01+0000,46,,,,29,,,,,,
2024-04-15T02:46:02+0000,47,,,,,,2,,,,
