created_at,entry_id,field1,field2,field3,field4
2024-04-15T23:17:00+0000,1,,,,10
2024-04-15T23:19:00+0000,2,,,,15
2024-04-15T23:21:00+0000,3,,,,12
2024-04-15T23:23:00+0000,4,,,,17
2024-04-15T23:26:00+0000,5,,,,24
2024-04-15T23:28:00+0000,6,,,,32
2024-04-15T23:33:00+0000,7,,,,23
2024-04-15T23:36:00+0000,8,,,,12
2024-04-15T23:39:00+0000,9,,,,29
2024-04-15T23:43:00+0000,10,,,,34
2024-04-15T23:48:00+0000,11,,,,31
2024-04-15T23:52:00+0000,12,,,,15
2024-04-15T23:56:00+0000,13,,,,19
2024-04-16T00:04:00+0000,14,29,,,
2024-04-16T00:16:00+0000,15,28,,,
2024-04-16T00:17:00+0000,16,27,,,
2024-04-16T00:21:00+0000,17,28,,,
2024-04-16T00:24:00+0000,18,27,,,
2024-04-16T00:40:00+0000,19,26,,,
2024-04-16T00:43:00+0000,20,25,,,
2024-04-16T00:46:00+0000,21,24,,,
2024-04-16T00:47:00+0000,22,23,,,
2024-04-16T00:57:00+0000,23,22,,,
2024-04-16T00:59:00+0000,24,21,,,
2024-04-16T01:03:00+0000,25,22,,,
2024-04-16T01:05:00+0000,26,21,,,
2024-04-16T01:20:00+0000,27,20,,,
2024-04-16T01:23:00+0000,28,19,,,
2024-04-16T01:26:00+0000,29,18,,,
2024-04-16T01:27:00+0000,30,19,,,
2024-04-16T01:41:00+0000,31,18,,,
2024-04-16T01:42:00+0000,32,17,,,
2024-04-16T01:52:00+0000,33,16,,,
2024-04-16T01:53:00+0000,34,15,,,
2024-04-16T01:54:00+0000,35,16,,,
2024-04-16T02:06:00+0000,36,15,,,
2024-04-16T02:12:00+0000,37,16,,,
2024-04-16T02:17:00+0000,38,15,,,
2024-04-16T02:31:00+0000,39,14,,,
2024-04-16T02:32:00+0000,40,15,,,
2024-04-16T02:37:00+0000,41,14,,,
2024-04-16T02:39:00+0000,42,13,,,
2024-04-16T02:43:00+0000,43,14,,,
2024-04-16T02:49:00+0000,44,15,,,
2024-04-16T02:50:00+0000,45,16,,,
2024-04-16T03:08:00+0000,46,17,,,
2024-04-16T03:20:00+0000,47,18,,,
2024-04-16T03:31:00+0000,48,17,,,
2024-04-16T03:32:00+0000,49,18,,,
2024-04-16T03:37:00+0000,50,19,,,
2024-04-16T03:38:00+0000,51,20,,,
2024-04-16T03:40:00+0000,52,19,,,
2024-04-16T03:43:00+0000,53,20,,,
2024-04-16T03:49:00+0000,54,21,,,
2024-04-16T03:51:00+0000,55,20,,,
2024-04-16T03:53:00+0000,56,19,,,
2024-04-16T03:56:00+0000,57,18,,,
2024-04-16T03:59:00+0000,58,19,,,
2024-04-16T04:06:00+0000,59,20,,,
2024-04-16T04:14:00+0000,60,21,,,
2024-04-16T04:16:00+0000,61,20,,,
2024-04-16T04:18:00+0000,62,21,,,
2024-04-16T04:27:00+0000,63,20,,,
2024-04-16T04:45:00+0000,64,19,,,
2024-04-16T04:48:00+0000,65,18,,,
2024-04-16T04:51:00+0000,66,17,,,
2024-04-16T05:01:00+0000,67,18,,,
2024-04-16T05:22:00+0000,68,19,,,
2024-04-16T05:23:00+0000,69,20,,,
2024-04-16T05:24:00+0000,70,19,,,
2024-04-16T05:28:00+0000,71,18,,,
2024-04-16T05:38:00+0000,72,17,,,
2024-04-16T05:39:00+0000,73,18,,,
2024-04-16T05:41:00+0000,74,17,,,
2024-04-16T05:43:00+0000,75,16,,,
2024-04-16T05:55:00+0000,76,17,,,
2024-04-16T05:56:00+0000,77,18,,,
2024-04-16T06:01:00+0000,78,19,,,
2024-04-16T06:02:00+0000,79,20,,,
2024-04-16T06:03:00+0000,80,19,,,
2024-04-16T06:21:00+0000,81,18,,,
2024-04-16T06:34:00+0000,82,17,,,
2024-04-16T06:42:00+0000,83,16,,,
2024-04-16T06:49:00+0000,84,15,,,
2024-04-16T06:59:00+0000,85,16,,,
2024-04-16T07:06:00+0000,86,17,,,
2024-04-16T07:12:00+0000,87,18,,,
2024-04-16T07:13:00+0000,88,17,,,
2024-04-16T07:15:00+0000,89,18,,,
2024-04-16T07:16:00+0000,90,17,,,
2024-04-16T07:17:00+0000,91,18,,,
2024-04-16T07:19:00+0000,92,17,,,
2024-04-16T07:20:00+0000,93,16,,,
2024-04-16T07:31:00+0000,94,15,,,
2024-04-16T07:37:00+0000,95,14,,,
2024-04-16T07:47:00+0000,96,13,,,
2024-04-16T07:54:00+0000,97,12,,,
2024-04-16T07:58:00+0000,98,13,,,
2024-04-16T08:02:00+0000,99,14,,,
2024-04-16T08:05:00+0000,100,13,,,
2024-04-16T08:08:00+0000,101,14,,,
