created_at,entry_id,field1,field2,field3,field4
2024-04-16T00:04:00+0000,14,29,,,43
2024-04-16T00:16:00+0000,15,28,,,17
2024-04-16T00:17:00+0000,16,27,,,6
2024-04-16T00:21:00+0000,17,28,,,14
2024-04-16T00:24:00+0000,18,27,,,27
2024-04-16T00:40:00+0000,19,26,,,17
2024-04-16T00:43:00+0000,20,25,,,30
2024-04-16T00:46:00+0000,21,24,,,14
2024-04-16T00:47:00+0000,22,23,,,33
2024-04-16T00:57:00+0000,23,22,,,32
2024-04-16T00:59:00+0000,24,21,,,18
2024-04-16T01:03:00+0000,25,22,,,20
2024-04-16T01:05:00+0000,26,21,,,14
2024-04-16T01:20:00+0000,27,20,,,28
2024-04-16T01:23:00+0000,28,19,,,19
2024-04-16T01:26:00+0000,29,18,,,11
2024-04-16T01:27:00+0000,30,19,,,18
2024-04-16T01:41:00+0000,31,18,,,30
2024-04-16T01:42:00+0000,32,17,,,11
2024-04-16T01:52:00+0000,33,16,,,24
2024-04-16T01:53:00+0000,34,15,,,26
2024-04-16T01:54:00+0000,35,16,,,30
2024-04-16T02:06:00+0000,36,15,,,17
2024-04-16T02:12:00+0000,37,16,,,27
2024-04-16T02:17:00+0000,38,15,,,29
2024-04-16T02:31:00+0000,39,14,,,20
2024-04-16T02:32:00+0000,40,15,,,41
2024-04-16T02:37:00+0000,41,14,,,19
2024-04-16T02:39:00+0000,42,13,,,23
2024-04-16T02:43:00+0000,43,14,,,14
2024-04-16T02:49:00+0000,44,15,,,15
2024-04-16T02:50:00+0000,45,16,,,39
2024-04-16T03:08:00+0000,46,17,,,29
2024-04-16T03:20:00+0000,47,18,,,27
2024-04-16T03:31:00+0000,48,17,,,20
2024-04-16T03:32:00+0000,49,18,,,16
2024-04-16T03:37:00+0000,50,19,,,20
2024-04-16T03:38:00+0000,51,20,,,19
2024-04-16T03:40:00+0000,52,19,,,25
2024-04-16T03:43:00+0000,53,20,,,24
2024-04-16T03:49:00+0000,54,21,,,13
2024-04-16T03:51:00+0000,55,20,,,25
2024-04-16T03:53:00+0000,56,19,,,23
2024-04-16T03:56:00+0000,57,18,,,19
2024-04-16T03:59:00+0000,58,19,,,25
